Symbol,Timestamp,Date,Open,High,Low,Close,Volume,MA_High,MA_Volume,P_Anomaly,V_Anomaly
XZCBTC,1611500400000,2021-01-24 16:00:00,0.00013230,0.00013410,0.00013230,0.00013260,4524.64000000,0.0001341,4524.64,False,False
XZCBTC,1611504000000,2021-01-24 17:00:00,0.00013310,0.00013480,0.00013260,0.00013350,1962.67000000,0.00013445,3243.655,False,False
XZCBTC,1611507600000,2021-01-24 18:00:00,0.00013400,0.00013490,0.00013340,0.00013470,1160.62000000,0.0001346,2549.31,False,False
XZCBTC,1611511200000,2021-01-24 19:00:00,0.00013470,0.00013510,0.00013370,0.00013430,2248.11000000,0.00013472499999999998,2474.01,False,False
XZCBTC,1611514800000,2021-01-24 20:00:00,0.00013430,0.00013550,0.00013390,0.00013410,5661.23000000,0.00013487999999999998,3111.454,False,False
XZCBTC,1611518400000,2021-01-24 21:00:00,0.00013420,0.00013530,0.00013340,0.00013490,1872.03000000,0.00013494999999999997,2904.883333333333,False,False
XZCBTC,1611522000000,2021-01-24 22:00:00,0.00013510,0.00013550,0.00013430,0.00013500,3304.29000000,0.0001350285714285714,2961.941428571429,False,False
XZCBTC,1611525600000,2021-01-24 23:00:00,0.00013500,0.00013530,0.00013280,0.00013400,3515.26000000,0.00013506249999999998,3031.10625,False,False
XZCBTC,1611529200000,2021-01-25 00:00:00,0.00013340,0.00013500,0.00013320,0.00013450,1098.30000000,0.00013505555555555553,2816.35,False,False
XZCBTC,1611532800000,2021-01-25 01:00:00,0.00013430,0.00013530,0.00013280,0.00013400,4959.99000000,0.00013508,3030.714,False,False
XZCBTC,1611536400000,2021-01-25 02:00:00,0.00013430,0.00013550,0.00013240,0.00013550,18814.72000000,0.0001351181818181818,4465.623636363636,False,False
